FECHA_PROCESO;RUC_PROVEEDOR;PROVEEDOR;RUC_ENTIDAD;ENTIDAD;TIPO_PROCEDIMIENTO;ORDEN_ELECTRÓNICA;ORDEN_ELECTRÓNICA_GENERADA;ESTADO_ORDEN_ELECTRÓNICA;DOCUMENTO_ESTADO_OCAM;FECHA_FORMALIZACIÓN;FECHA_ÚLTIMO_ESTADO;SUB_TOTAL;IGV;TOTAL;ORDEN_DIGITALIZADA;DESCRIPCIÓN_ESTADO;DESCRIPCIÓN_CESIÓN_DERECHOS;ACUERDO_MARCO
2025-01-01 08:00:23;20611360119;SUMINISTROS SUM E.I.R.L.;20146713824;MUNICIPALIDAD PROVINCIAL DE TALARA;Compra ordinaria;OCAM-2024-301581-36-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061444&ImprimirCompleto=1;ACEPTADA;;2024-12-31 13:40:16;2024-12-31 13:40:16;1871.50;336.87;2208.37;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301581-36_27-12-24 15:30:12_FISICA.pdf;;;IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2025-01-01 08:00:23;20611538554;GONHEN CORPORATION S.A.C.;20601224624;HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR;Compra ordinaria;OCAM-2024-1670-58-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061784&ImprimirCompleto=1;ACEPTADA;;2024-12-31 11:04:16;2024-12-31 11:04:16;8082.50;1454.85;9537.35;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-1670-58_27-12-24 18:16:11_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2025-01-01 08:00:23;20608905694;AET DROBISER E.I.R.L;20130534211;MUNICIPALIDAD DE SAN ISIDRO;Gran Compra;OCAM-2024-301280-82-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061977&ImprimirCompleto=1;ACEPTADA;;2024-12-30 20:50:39;2024-12-30 20:50:39;62143.20;11185.78;73328.98;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301280-82_30-12-24 10:55:35_FISICA.pdf;;;BEBIDAS NO ALCOHÓLICAS
2025-01-01 08:00:23;20610249397;JUGRANSOFT TECHNOLOGY E.I.R.L.;20393146657;UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA;Gran Compra;OCAM-2024-1200-169-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061774&ImprimirCompleto=1;ACEPTADA;;2024-12-30 19:03:43;2024-12-30 19:03:43;139128.00;0.00;139128.00;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-1200-169_28-12-24 13:11:12_FISICA.pdf;;;COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES
2025-01-01 08:00:23;20554801171;VENCOM EMPRESARIAL E.I.R.L.;20260998898;ZONA REGISTRAL IX - SEDE LIMA;Compra ordinaria;OCAM-2024-1269-75-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3060578&ImprimirCompleto=1;ACEPTADA;;2024-12-30 16:10:54;2024-12-30 16:10:54;10250.00;1845.00;12095.00;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-1269-75_26-12-24 23:38:02_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2025-01-01 08:00:23;20609848180;CORPORACION HANAU E.I.R.L.;20154432516;MUNICIPALIDAD DISTRITAL SANTIAGO;Gran Compra;OCAM-2024-300689-280-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061811&ImprimirCompleto=1;ACEPTADA;;2024-12-30 16:02:24;2024-12-30 16:02:24;318323.36;57298.20;375621.56;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-300689-280_30-12-24 15:45:30_FISICA.pdf;;;BIENES Y HERRAMIENTAS PARA USOS DIVERSOS
2025-01-01 08:00:23;10227323006;ACOSTA CHAVEZ LILY JULIA;20131366532;MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA;Compra ordinaria;OCAM-2024-301276-60-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061686&ImprimirCompleto=1;ACEPTADA;;2024-12-30 15:14:09;2024-12-30 15:14:09;3900.00;702.00;4602.00;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301276-60_26-12-24 12:11:29_FISICA.pdf;;;MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2025-01-01 08:00:23;20608633856;ABC SOLUCIONES TOTALES S.A.C.;20544005864;RED DE SALUD DE HUAROCHIRI;Gran Compra;OCAM-2024-1404-17-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061855&ImprimirCompleto=1;ACEPTADA;;2024-12-30 14:21:15;2024-12-30 14:21:15;8684.28;1563.17;10247.45;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-1404-17_28-12-24 12:32:15_FISICA.pdf;;;COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES
2025-01-01 08:00:23;20125412875;COMERCIAL GIOVA S.A.;20131366702;MUNICIPALIDAD PUENTE PIEDRA;Compra ordinaria;OCAM-2024-301274-169-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061718&ImprimirCompleto=1;ACEPTADA;;2024-12-30 12:25:20;2024-12-30 12:25:20;31255.00;5625.90;36880.90;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301274-169_27-12-24 22:56:10_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2025-01-01 08:00:23;20100049181;TAI LOY S.A.;20131370301;MINISTERIO PUBLICO-GERENCIA GENERAL;Gran Compra;OCAM-2024-200-253-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3061871&ImprimirCompleto=1;ACEPTADA;;2024-12-30 12:07:53;2024-12-30 12:07:53;8767.50;1578.15;10345.65;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-200-253_27-12-24 23:05:40_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
