FECHA_PROCESO;RUC_PROVEEDOR;PROVEEDOR;RUC_ENTIDAD;ENTIDAD;TIPO_PROCEDIMIENTO;ORDEN_ELECTRÓNICA;ORDEN_ELECTRÓNICA_GENERADA;ESTADO_ORDEN_ELECTRÓNICA;DOCUMENTO_ESTADO_OCAM;FECHA_FORMALIZACIÓN;FECHA_ÚLTIMO_ESTADO;SUB_TOTAL;IGV;TOTAL;ORDEN_DIGITALIZADA;DESCRIPCIÓN_ESTADO;DESCRIPCIÓN_CESIÓN_DERECHOS;ACUERDO_MARCO
2025-02-01 08:00:18;20609530333;D-TECNOLOGIAS S.R.L.;20131372931;MINISTERIO DE DESARROLLO AGRARIO Y RIEGO;Compra ordinaria;OCAM-2025-155-1-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063205&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;2635.40;474.37;3109.77;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-155-1_29-01-25 12:23:44_FISICA.pdf;;;IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2025-02-01 08:00:18;20611252596;PLANET COMPANY S.A.C.;20131372931;MINISTERIO DE DESARROLLO AGRARIO Y RIEGO;Compra ordinaria;OCAM-2025-155-3-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063209&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;2614.50;470.61;3085.11;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-155-3_29-01-25 12:25:02_FISICA.pdf;;;IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2025-02-01 08:00:18;20607445673;NEXCOM PRODUTEC PERU E.I.R.L.;20519752515;GOBIERNO REGIONAL DE TACNA;Compra ordinaria;OCAM-2025-931-16-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063740&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;2539.80;457.16;2996.96;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-931-16_29-01-25 20:13:49_FISICA.pdf;;;IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2025-02-01 08:00:18;20605963928;MIPANEL S.A.C.;20600171373;MUNICIPALIDAD DISTRITAL DE QUICHUAS;Compra ordinaria;OCAM-2025-301860-3-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063573&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;440.74;79.33;520.07;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-301860-3_29-01-25 11:31:26_FISICA.pdf;;;IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2025-02-01 08:00:18;20609035324;IMPORTACIONES EMMANUEL S.A.C.;20600171373;MUNICIPALIDAD DISTRITAL DE QUICHUAS;Gran Compra;OCAM-2025-301860-5-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063577&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;672.30;121.01;793.31;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-301860-5_29-01-25 11:34:27_FISICA.pdf;;;IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2025-02-01 08:00:18;20610097643;CORPORACION INTEGRA PERUVIAN E.I.R.L.;20600171373;MUNICIPALIDAD DISTRITAL DE QUICHUAS;Compra ordinaria;OCAM-2025-301860-4-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063575&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;1100.88;198.16;1299.04;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-301860-4_29-01-25 11:32:49_FISICA.pdf;;;IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2025-02-01 08:00:18;20607971235;SAMURAI SYSTEMS S.A.C.;20138100015;HOSPITAL DE EMERGENCIAS JOSE CASIMIRO UL;Compra ordinaria;OCAM-2025-146-1-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063637&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;3981.00;716.58;4697.58;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-146-1_29-01-25 12:45:16_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2025-02-01 08:00:18;20552630191;LINKWORKS S.A.C;20148092282;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;Compra ordinaria;OCAM-2025-88-6-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063175&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;336.00;60.48;396.48;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-88-6_29-01-25 12:16:53_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2025-02-01 08:00:18;10297225133;SOTO RODRIGUEZ CHRISTIAN MARCOS;20163654246;HOSPITAL GOYENECHE DEL GOBIERNO REGIONAL DE AREQUIPA;Compra ordinaria;OCAM-2025-766-2-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063517&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;12671.40;2280.85;14952.25;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-766-2_29-01-25 15:24:16_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2025-02-01 08:00:18;20606050951;INVERSIONES INNOVA WORLD SOCIEDAD ANONIMA CERRADA - INVERSIONES INNOVA WORLD S.A.C.;20494013453;UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO;Compra ordinaria;OCAM-2025-1400-4-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=3063746&ImprimirCompleto=1;ACEPTADA;;2025-01-31 00:00:00;2025-01-31 00:11:33;570.00;102.60;672.60;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2025-1400-4_29-01-25 16:04:06_FISICA.pdf;;;ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
